SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
CN1CCN(CC1)C2CCN(CC2)C(=O)c3ccc(c(c3)OC)Nc4ncc5c(n4)N(c6ccccc6C(=O)N5C)C,2p2idb,3.4387,5,4,5,6,570.698,Inhibitor,Inhibitor
Cc1cc(cc(C)c1O)N=Nc1cccc(c1)S(=O)(=O)Nc1ccccn1,ippidb,4.62024,4,2,5,3,382.445,Inhibitor,Inhibitor
COc1cc(OC)c2c(c1)nc([nH]c2=O)-c1cc(C)c(OCCO)c(C)c1,ippidb,2.59524,6,3,6,3,370.405,Inhibitor,Inhibitor
Cc1c(c(on1)C)c2ccc3c(c2)nc(n3CCN4CCOCC4)CCc5ccccc5,2p2idb,4.42554,3,1,7,5,430.55199999999996,Inhibitor,Inhibitor
Cc1c(sc-2c1C(=N[C@H](c3[n+]2c(n[nH]3)C)CC(=O)OC(C)(C)C)c4ccc(cc4)Cl)C,2p2idb,4.95046,3,3,3,4,458.00699999999995,Inhibitor,Inhibitor
COC(=O)[C@H](C)[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12,ippidb,3.9389199999999995,5,0,4,4,424.88800000000003,Inhibitor,Inhibitor
CN(C)C(=O)c1cccc(c1)-c1cn(CC=C)c(=O)c2[nH]ccc12,ippidb,2.8844,2,2,4,3,321.38,Inhibitor,Inhibitor
CC[C@H]([C@H]1c2nnc(n2-c3ccc(cc3C(=N1)c4ccc(cc4)Cl)OC)C)C(=O)OC,2p2idb,4.32902,5,0,5,4,438.915,Inhibitor,Inhibitor
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CC1,ippidb,2.70756,3,1,4,3,306.387,Inhibitor,Inhibitor
CCn1c2NC3=C(C(c4ccc(C)cc4)c2c(=O)[nH]c1=O)C(=O)OC3,ippidb,1.23322,4,3,2,4,339.351,Inhibitor,Inhibitor
C[C@H]1CN(C(=O)c2ccco2)c2cc(ccc2N1C(C)=O)-c1ccc(cc1)S(C)(=O)=O,ippidb,3.7519,4,0,3,4,438.505,Inhibitor,Inhibitor
CC(=O)Nc1ccc(cc1)O,2p2idb,1.3506,2,2,1,1,151.165,Inhibitor,Inhibitor
Cn1cc(-c2cccc(c2)C(F)(F)F)c2sc(cc2c1=O)C(N)=NC1CCS(=O)(=O)CC1,ippidb,3.5683,3,1,3,4,483.537,Inhibitor,Inhibitor
COc1ccc(cc1OC)-c1cn(C)c(=O)c2cc(sc12)C(=O)NC1CCS(=O)(=O)CC1,ippidb,2.5912,6,1,5,4,476.57599999999996,Inhibitor,Inhibitor
Cc1nnc2[C@H](CC(=O)OC(C)(C)C)N=C(c3c(C)c(C)sc3-n12)c1ccc(Cl)cc1,ippidb,5.53136,4,0,3,4,456.999,Inhibitor,Inhibitor
Cn1cc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c12,ippidb,3.9756,6,2,5,4,445.44699999999995,Inhibitor,Inhibitor
Cc1nnc2C(NC(=O)OCc3ccccc3)N=C(c3ccccc3)c3ccccc3-n12,ippidb,4.351719999999999,4,1,4,5,423.476,Inhibitor,Non-inhibitor
CC(=O)N[C@H]1CCc2cc(c(c(c2C3=CC=C(C(=O)C=C13)O)OC)OC)OC,2p2idb,2.5686,6,2,4,3,385.416,Inhibitor,Inhibitor
Cc1c2cc(c(cc2on1)O)NS(=O)(=O)c3cc(ccc3OC)Br,2p2idb,3.4137199999999996,5,2,4,3,413.249,Inhibitor,Inhibitor
CCc1c(c([nH]c1C(=O)Nc2cc(ccc2O)S(=O)(=O)N(CC)CC)C)C(=O)C,2p2idb,3.07652,5,3,8,2,421.519,Inhibitor,Inhibitor
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12,ippidb,3.65602,4,1,5,4,423.904,Inhibitor,Inhibitor
CCn1cc(-c2cccc(c2)C(=O)N(C)C)c2cc[nH]c2c1=O,ippidb,2.7183,2,2,3,3,309.369,Inhibitor,Inhibitor
CCn1c2NC3=C(C(c4ccc(C)cc4)c2c(=O)[nH]c1=O)C(=O)N(Cc1ccccc1)C3,ippidb,2.71882,3,4,4,5,428.49199999999996,Inhibitor,Non-inhibitor
COc1ccc(cc1S(=O)(=O)N1CCCC1)-c1c(C)noc1C,ippidb,2.7515400000000003,4,0,4,3,336.413,Inhibitor,Inhibitor
Oc1ccc(cc1Br)N=Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,ippidb,4.7659,4,2,5,3,433.287,Inhibitor,Inhibitor
CNC(=O)N1CCc2c(c(nn2C3CCOCC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,2p2idb,4.3545,4,2,4,6,525.604,Inhibitor,Inhibitor
Cc1c(c(on1)C)c2ccc3c(c2)nc(n3C[C@H](C)N4CCOCC4)CCc5ccc(c(c5)Cl)OC,2p2idb,5.47604,4,1,8,5,509.05,Inhibitor,Inhibitor
CCOc1cc(cc(c1)-c1c(C)noc1C)C(O)=O,ippidb,3.05534,4,1,4,2,261.277,Inhibitor,Inhibitor
CN1Cc2ccccc2NC1=O,2p2idb,1.6639,1,2,0,2,162.192,Inhibitor,Inhibitor
