SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)C)C(=O)NCc3ccccc3,timbal,-0.0839,7,8,15,3,624.743,Inhibitor,Inhibitor
NC(=O)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,3.4035,4,3,6,3,362.389,Inhibitor,Inhibitor
O=C(Nc1ccccc1)Nc2ncccc2OCc3ccccc3,timbal,4.3046,3,2,5,3,319.36400000000003,Inhibitor,Inhibitor
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccccc3)cc2)c1,timbal,3.59272,3,3,5,3,388.474,Inhibitor,Inhibitor
Clc1cc(Cl)cc(NC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2)c1,timbal,7.1965,2,3,4,3,469.155,Inhibitor,Inhibitor
Fc1cccc(F)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.1742,4,2,2,4,364.351,Inhibitor,Inhibitor
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CC(C)C)C(=O)N[C@H](C)C(=O)N,timbal,-1.3841,8,9,17,2,647.778,Inhibitor,Inhibitor
CCOC(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,4.4813,5,2,7,3,391.42699999999996,Inhibitor,Inhibitor
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NC(C)(C)C(=O)NCC(=O)N2CCC[C@H]2C(=O)NC3(CCCC3)C(=O)NCc4ccccc4,timbal,1.2305,7,8,15,4,678.835,Inhibitor,Inhibitor
CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NCC(=O)N[C@@H](C)C(=O)N,timbal,-3.6842,9,10,16,2,648.722,Inhibitor,Inhibitor
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2c[nH]cn2)C(=O)N[C@@H](C)C(=O)O,timbal,-1.9884,8,9,14,2,564.644,Inhibitor,Inhibitor
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NC3CCCC3C(=O)NCc4ccccc4,timbal,1.3324,7,8,16,4,692.862,Inhibitor,Inhibitor
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)CCc2c[nH]cn2)C(=O)N[C@H](C)C(=O)N,timbal,-1.5249,7,8,14,2,548.645,Inhibitor,Inhibitor
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(F)c3)cc2)c1,timbal,3.73182,4,3,5,3,406.464,Inhibitor,Inhibitor
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(Cl)c3)cc2)c1,timbal,4.2461199999999995,3,3,5,3,422.91900000000004,Inhibitor,Inhibitor
O=C(NCc1cccc2ccccc12)Nc3cccc(NC(=O)NCc4cccc5ccccc45)c3,timbal,6.6364,2,4,6,5,474.564,Inhibitor,Inhibitor
Clc1cc(Cl)cc(NC(=S)Nc2cccc(NC(=S)Nc3cc(Cl)cc(Cl)c3)c2)c1,timbal,7.917999999999999,0,4,4,3,516.306,Inhibitor,Inhibitor
Cc1ccccc1CNC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2,timbal,5.87582,2,3,5,3,428.319,Inhibitor,Inhibitor
CC(C)CCCOc1cccnc1NC(=O)Nc2ccccc2,timbal,4.5406,3,2,7,2,313.401,Inhibitor,Inhibitor
Fc1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.0351,3,2,2,4,346.361,Inhibitor,Inhibitor
Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)NCc3ccccc3)c2,timbal,5.5674,2,3,5,3,414.292,Inhibitor,Inhibitor
CN(C)c1ccc(NC(=O)Nc2cc(NC(=O)Nc3ccc(cc3)N(C)C)c(Br)cc2Br)cc1,timbal,6.6316,2,4,6,3,590.32,Inhibitor,Inhibitor
FC(F)(F)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,5.3234,3,2,5,3,387.361,Inhibitor,Inhibitor
Oc1cccc(O)c1C(=O)NC(=O)NCc2ccccc2,timbal,1.7374,4,4,3,2,286.28700000000003,Inhibitor,Inhibitor
Brc1cc(Br)c(NC(=O)Nc2ccc(I)cc2)cc1NC(=O)Nc3ccc(I)cc3,timbal,7.7088,2,4,4,3,755.9739999999999,Inhibitor,Inhibitor
Oc1cccc(O)c1C(=O)NC(=O)NC2CCCCC2,timbal,1.8699,4,4,2,2,278.308,Inhibitor,Inhibitor
Fc1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)c(F)c1,timbal,4.5828,5,2,5,3,355.344,Inhibitor,Inhibitor
COc1cccc(NC(=O)NC2CCCC(C2)NC(=O)Nc3cccc(OC)c3)c1,timbal,3.9582,4,4,6,3,412.49,Inhibitor,Inhibitor
O=C(NCC(c1ccccc1)c2ccccc2)Nc3cccc(NC(=O)NCC(c4ccccc4)c5ccccc5)c3,timbal,7.5938,2,4,10,5,554.694,Inhibitor,Inhibitor
O=C(Nc1cccc(c1)C#N)Nc2ncccc2OCc3ccccc3,timbal,4.17628,3,2,5,3,344.374,Inhibitor,Inhibitor
FC(F)(F)c1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.9148,2,2,2,4,396.36800000000005,Inhibitor,Inhibitor
NS(=O)(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,2.952,5,3,6,3,398.444,Inhibitor,Inhibitor
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N3CCC[C@H]3C(=O)O,timbal,0.2295,4,5,6,3,358.398,Inhibitor,Inhibitor
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccc(C)c(Cl)c3)cc2)c1,timbal,4.55454,3,3,5,3,436.94599999999997,Inhibitor,Inhibitor
Clc1cc(Cl)cc(NC(=O)NC2CCCC(C2)NC(=O)Nc3cc(Cl)cc(Cl)c3)c1,timbal,6.5546,2,4,4,3,490.218,Inhibitor,Inhibitor
CSc1cccc(F)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.757,3,2,3,4,392.455,Inhibitor,Inhibitor
CC[C@@H](C)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)C(C)(C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](NC(=O)C)C(C)C)C(=O)N[C@H](C)C(=O)N,timbal,-1.8794,9,10,18,2,718.857,Inhibitor,Inhibitor
Clc1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,4.958,3,2,5,3,353.809,Inhibitor,Inhibitor
Clc1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.5494,2,2,2,4,362.816,Inhibitor,Inhibitor
FC(F)(F)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,5.3234,3,2,5,3,387.361,Inhibitor,Inhibitor
Cc1ccc(NC(=S)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)cc1,timbal,4.06122,3,3,5,3,404.542,Inhibitor,Inhibitor
CCN(CC)c1nc(C)c(c(NCCNC(=S)Nc2ccc(C)c(Cl)c2)n1)[N+](=O)[O-],timbal,3.89974,2,3,9,2,451.98400000000004,Inhibitor,Inhibitor
CCN(CC)c1nc(C)c(c(NCCNC(=S)Nc2cccc(Br)c2)n1)[N+](=O)[O-],timbal,3.70042,2,3,9,2,482.408,Inhibitor,Inhibitor
Clc1ccc(NC(=S)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)cc1,timbal,4.4062,3,3,5,3,424.96,Inhibitor,Inhibitor
CNS(=O)(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,3.2127,5,3,7,3,412.471,Inhibitor,Inhibitor
Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)Cc3cccc4ccccc34)c2,timbal,6.5801,2,2,5,4,449.337,Inhibitor,Inhibitor
Cc1ccc(NC(=S)Nc2ccc(C)c(c2)[N+](=O)[O-])cc1Cl,timbal,4.67394,0,2,3,2,335.816,Inhibitor,Inhibitor
O=C(NC1c2ccccc2c3ccccc13)NC(=O)c4ccccc4C#N,timbal,3.7676800000000004,2,2,2,4,353.381,Inhibitor,Inhibitor
Oc1cccc(O)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,3.3072,4,4,2,4,360.369,Inhibitor,Inhibitor
O=C(NC1c2ccccc2c3ccccc13)NC(=O)c4ccccc4OCc5ccccc5,timbal,5.475,3,2,5,5,434.495,Inhibitor,Inhibitor
O=C(NC1CCCC(C1)NC(=O)Nc2cccc3ccccc23)Nc4cccc5ccccc45,timbal,6.2474,2,4,4,5,452.55800000000005,Inhibitor,Inhibitor
CCc1ccccc1NC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2,timbal,6.4521,2,3,5,3,428.319,Inhibitor,Inhibitor
