SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccccc4,timbal,4.1742,2,1,2,4,294.35,Inhibitor,Inhibitor
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(C)CC4,timbal,2.5318,3,2,5,4,378.476,Inhibitor,Inhibitor
CC1(C)Oc2cc(OC(=O)c3ccc(OCc4ccccc4)c(OCc5ccccc5)c3)ccc2CC1O,timbal,6.1382,6,1,8,5,510.586,Inhibitor,Inhibitor
O=C1N(C(=Nc2ccccc12)CN3CCNCC3)c4ccccc4OCc5ccccc5,timbal,3.3699,3,2,6,5,426.52,Inhibitor,Inhibitor
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,5.4722,4,1,6,6,431.532,Inhibitor,Inhibitor
COC(=O)c1cccc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.9585,4,1,6,6,419.52099999999996,Inhibitor,Inhibitor
COc1cc(OC)cc(c1)c2oc3cc4OC(Cc4cc3c2)C(C)(C)O,timbal,4.1914,4,1,4,4,354.402,Inhibitor,Inhibitor
Cc1ccc(OCC(=O)Nc2cc(ccc2O)B3OC(C)(C)C(C)(C)O3)cc1,timbal,3.0173200000000002,5,2,5,3,383.25300000000004,Inhibitor,Inhibitor
NC(=O)c1ccnc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,3.6658,4,2,6,6,405.49800000000005,Inhibitor,Inhibitor
O=C(Nc1cccc(c1)C(=O)OCCN2CCCC2)\C=C\Oc3ccc(cc3)C45CC6CC(CC(C6)C4)C5,timbal,5.9382,4,2,9,7,514.6659999999999,Inhibitor,Inhibitor
COC(=O)c1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,timbal,4.7293,3,3,6,3,375.42800000000005,Inhibitor,Inhibitor
OC(=O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.5757,5,3,6,6,421.49300000000005,Inhibitor,Inhibitor
C[C@@H](CC[C@@H]1[C@@H](C)[C@@]2(C)CC[C@]1(C)O2)[C@H]3CCC(=C[C@H]3O)C,timbal,4.7136,2,1,4,3,306.49,Inhibitor,Inhibitor
CC1(C)Oc2cc3oc(cc3cc2CC1O)c4cc(O)cc(O)c4,timbal,3.5854,4,3,1,4,326.348,Inhibitor,Inhibitor
COc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(CC4)C(=O)c5occc5,timbal,2.9453,4,2,5,5,444.491,Inhibitor,Inhibitor
COc1cc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc(OC)c1,timbal,4.9599,3,3,7,3,377.444,Inhibitor,Inhibitor
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C(C)(C)CC(C)(C)C)c1,timbal,5.7182,4,1,7,2,409.526,Inhibitor,Inhibitor
COc1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.9513,2,3,6,3,347.418,Inhibitor,Inhibitor
COC(=O)c1cncc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.3535,5,1,6,6,420.509,Inhibitor,Inhibitor
NS(=O)(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.333,4,2,6,6,452.57599999999996,Inhibitor,Inhibitor
COc1cc(nc(n1)c2ccc(NC(=O)CCl)cn2)C(F)(F)F,timbal,2.7433,5,1,4,2,346.69599999999997,Inhibitor,Inhibitor
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccncc4,timbal,3.5692,3,1,2,4,295.33799999999997,Inhibitor,Inhibitor
CC1(C)OB(OC1(C)C)c2ccc(O)c(NC(=O)COc3ccc(cc3)C4CCCCC4)c2,timbal,4.7566,5,2,6,4,451.37199999999996,Inhibitor,Inhibitor
COc1cccc(c1)c2ccc(cc2)C(=O)Oc3ccc4CC(O)C(C)(C)Oc4c3,timbal,4.6558,5,1,4,4,404.462,Inhibitor,Inhibitor
COc1c2C=CC(C)(C)Oc2ccc1C(C3CCCCC3)n4cnc5c(Cl)cccc45,timbal,7.0522,3,0,4,5,436.983,Inhibitor,Inhibitor
Cc1ccc(Cn2nc(cc2C)c3nc4ccc(cc4[nH]3)c5ccc(Cl)cc5)cc1,timbal,6.41194,2,2,4,5,412.92400000000004,Inhibitor,Inhibitor
Oc1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.6483,2,4,5,3,333.39099999999996,Inhibitor,Inhibitor
COc1ccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,timbal,4.9513,2,3,6,3,347.418,Inhibitor,Inhibitor
OC(=O)c1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.6409,3,4,6,3,361.401,Inhibitor,Inhibitor
Oc1ccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,timbal,4.6483,2,4,5,3,333.39099999999996,Inhibitor,Inhibitor
O=C(Nc1cccc(c1)C(=O)NCCN2CCOCC2)\C=C\Oc3ccc(cc3)C45CC6CC(CC(C6)C4)C5,timbal,4.7476,4,3,9,7,529.681,Inhibitor,Inhibitor
COC(=O)c1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.7293,3,3,6,3,375.42800000000005,Inhibitor,Inhibitor
O=C(COc1ccc(cc1)C23CC4CC(CC(C4)C2)C3)Nc5cncc(c5)C(=O)NCCCn6ccnc6,timbal,4.5835,5,2,10,7,513.6419999999999,Inhibitor,Inhibitor
OB(O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,2.5573,5,4,6,6,421.30199999999996,Inhibitor,Inhibitor
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccc(OCc5ccccc5)cc4,timbal,5.7532,3,1,5,5,400.474,Inhibitor,Inhibitor
CC1(C)Oc2cc(OC(=O)c3ccc(Br)cc3)ccc2CC1O,timbal,3.7427,4,1,2,3,377.23400000000004,Inhibitor,Inhibitor
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,timbal,1.8468,6,3,3,5,421.45300000000003,Inhibitor,Inhibitor
Oc1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,timbal,4.6483,2,4,5,3,333.39099999999996,Inhibitor,Inhibitor
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2C)C34CC5CC(CC(C5)C3)C4)c1,timbal,5.78062,4,1,6,6,445.559,Inhibitor,Inhibitor
Cc1nc(nc(O)c1Cc2ccccc2)c3ccc(NC(=O)CCl)cn3,timbal,3.3207199999999997,5,2,5,3,368.824,Inhibitor,Inhibitor
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4cccc(O)c4,timbal,3.8798,3,2,2,4,310.349,Inhibitor,Inhibitor
O=C(Nc1cccc(c1)C(=O)NCCc2ccncc2)\C=C\Oc3ccc(cc3)C45CC6CC(CC(C6)C4)C5,timbal,6.0531,4,2,9,7,521.661,Inhibitor,Inhibitor
CCOC(=O)COc1ccc(cc1)c2oc3cc4OC(Cc4cc3c2)C(C)(C)O,timbal,4.1161,5,1,6,4,396.439,Inhibitor,Inhibitor
CCNc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCNCC4,timbal,2.2227,2,3,5,4,363.465,Inhibitor,Inhibitor
CCSc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCNCC4,timbal,2.9029,2,2,5,4,380.517,Inhibitor,Inhibitor
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CC4CCN(CC4)C(=O)c5occc5,timbal,4.4723,4,1,6,5,457.53,Inhibitor,Non-inhibitor
COc1ccc(cc1N2C(=Nc3ccccc3C2=O)CN4CCNCC4)C(F)(F)F,timbal,2.8183,3,2,4,4,418.41900000000004,Inhibitor,Inhibitor
Cc1nc(nc(O)c1Cl)c2ccc(NC(=O)CCl)cn2,timbal,2.38332,5,2,3,2,313.144,Inhibitor,Inhibitor
CC1(C)Oc2cc(OC(=O)c3ccc(cc3)c4cccc(c4)[N+](=O)[O-])ccc2CC1O,timbal,4.5554,4,1,4,4,419.43300000000005,Inhibitor,Inhibitor
Oc1cc(nc(n1)c2ccc(NC(=O)CCl)cn2)C(F)(F)F,timbal,2.4403,5,2,3,2,332.66900000000004,Inhibitor,Inhibitor
CC(C)(C)c1ccc(OCC(=O)Nc2cc(ccc2O)B(O)O)cc1,timbal,1.3869999999999998,5,4,5,2,343.18800000000005,Inhibitor,Inhibitor
CC1(C)Oc2cc(OC(=O)c3ccc(F)cc3F)ccc2CC1O,timbal,3.2584,6,1,2,3,334.31800000000004,Inhibitor,Inhibitor
CCc1c(C)nc(nc1OCC=C)c2ccc(NC(=O)CCl)cn2,timbal,3.15152,5,1,7,2,346.81800000000004,Inhibitor,Inhibitor
OB(O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C3CCCCC3)c1,timbal,2.1372,5,4,6,3,369.226,Inhibitor,Inhibitor
O=C(COc1ccc(cc1)C23CC4CC(CC(C4)C2)C3)Nc5cncc(c5)C(=O)NCCc6ccncc6,timbal,4.9344,5,2,9,7,510.63800000000003,Inhibitor,Inhibitor
COc1ccc(OC)c(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,timbal,4.9599,3,3,7,3,377.444,Inhibitor,Inhibitor
COc1cccc(OC)c1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.9599,3,3,7,3,377.444,Inhibitor,Inhibitor
COC(=O)c1ccc(OC)c(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,timbal,4.7379,4,3,7,3,405.454,Inhibitor,Inhibitor
OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24,timbal,3.8369,2,1,4,4,304.349,Inhibitor,Inhibitor
CCOc1ccccc1N2C(=Nc3cccc(C)c3C2=O)CN4CCN(CC4)C(=O)c5occc5,timbal,3.64382,4,2,6,5,472.545,Inhibitor,Inhibitor
Clc1ccc(NC(=O)c2ccnc(NC(=O)COc3ccc(cc3)C45CC6CC(CC(C6)C4)C5)c2)cc1,timbal,6.4726,4,2,7,7,516.0409999999999,Inhibitor,Inhibitor
CC(C)(CC(=O)N1C2CCC1CC2)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL1084601,1.36068,3,3,5,3,350.43800000000005,Non-inhibitor,Non-inhibitor
CCOc1n[nH]c2cc(NC(=O)N[C@H](COC(F)F)c3ccccc3)ncc12,CHEMBL4109298,3.4586,5,4,8,3,391.37800000000004,Non-inhibitor,Non-inhibitor
CC1(C)C[C@@H](NC(=O)Nc2ccc3c(c2)NC(=O)CC3)c2ccc(C(F)(F)F)cc2O1,CHEMBL3677330,5.013999999999999,3,3,2,4,433.43,Non-inhibitor,Non-inhibitor
NC(=O)N(O)Cc1ccc(Oc2ccccc2)s1,CHEMBL292369,2.8103,3,2,4,2,264.306,Non-inhibitor,Non-inhibitor
CCc1ccc(NC(=O)C2=C[C@H](O)[C@H](O)[C@@H](O[C@@H](C(N)=O)[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3OC)O2)cc1,CHEMBL316294,-2.1565,11,7,9,4,562.5319999999999,Non-inhibitor,Non-inhibitor
C=CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(-c2ccccc2C(C)=O)c1,CHEMBL253799,5.5248,4,4,14,4,589.736,Non-inhibitor,Non-inhibitor
Cc1nc(N[C@@H](C)c2cccc(-c3cncc(N)c3)c2)cc(-c2ccc3occ(C)c3c2)n1,CHEMBL3728602,6.32394,3,2,5,5,435.531,Non-inhibitor,Non-inhibitor
COc1cc(C(=O)OCc2ccc3nc(N)nc(N)c3c2)cc(OC)c1OC,CHEMBL78022,2.177,7,2,6,3,384.392,Non-inhibitor,Non-inhibitor
CC(C)C[C@H](CP(=O)(O)[C@@H](N)CCc1ccccc1)C(=O)N[C@@H](C)C(N)=O,CHEMBL4091951,1.8267,4,4,11,1,397.45599999999996,Non-inhibitor,Non-inhibitor
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H](CCCCNC(=O)OCc1ccccc1)c1nc2ccccc2[nH]1,CHEMBL3143819,5.66284,6,7,13,6,702.8560000000001,Non-inhibitor,Non-inhibitor
CCOC(=O)C1=C(C)NC(COC(=O)c2ccccc2)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,CHEMBL1099060,3.7929,6,1,9,3,494.5,Non-inhibitor,Non-inhibitor
CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,CHEMBL10284,6.09132,2,1,5,4,380.491,Non-inhibitor,Non-inhibitor
O=C(CN1C(=O)C2C3C=CC(C3)C2C1=O)OCC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,CHEMBL1449757,1.7812,5,1,6,4,418.789,Non-inhibitor,Non-inhibitor
CN(Cc1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1)S(C)(=O)=O,CHEMBL1090598,0.9585,7,1,5,4,435.535,Non-inhibitor,Non-inhibitor
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,CHEMBL3910142,4.96018,2,3,9,4,452.602,Non-inhibitor,Non-inhibitor
COc1ccc2nc(NC(=O)Nc3ccccc3N3CC4(CCN(CC(C)(C)C)CC4)c4c(F)ccc(O)c43)sc2n1,CHEMBL3892050,6.72,6,4,5,6,590.725,Non-inhibitor,Non-inhibitor
CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(S(=O)(=O)Cc2ccccc2)C1)C(C)(C)C,CHEMBL1950847,1.2358,4,3,8,2,452.621,Non-inhibitor,Non-inhibitor
Cc1ccc(NC(=O)c2ccc(NS(=O)(=O)c3ccc(Cl)nc3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL3642832,5.69212,7,3,8,5,572.05,Non-inhibitor,Non-inhibitor
Cc1c(-c2ccc(C(N)=O)c3[nH]c4ccccc4c23)cccc1-n1cnc2ccccc2c1=O,CHEMBL4243299,5.094519999999999,3,2,3,6,444.494,Non-inhibitor,Non-inhibitor
CC(C)Oc1ccc2[nH]nc(-c3ccnc(N4CCN(C)CC4)c3)c2c1,CHEMBL4093185,3.1639,3,3,4,4,351.454,Non-inhibitor,Non-inhibitor
O=C(Nc1ccccc1)Nc1ncccc1O,CHEMBL383535,2.4312,3,3,2,2,229.239,Non-inhibitor,Non-inhibitor
Brc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1,CHEMBL3264698,4.4633,3,0,4,4,387.26199999999994,Non-inhibitor,Non-inhibitor
Cc1n[nH]c(C(=O)O)c1CCc1cccc(-c2ccc(F)cc2)c1,CHEMBL2172181,4.007619999999999,4,3,5,3,324.355,Non-inhibitor,Non-inhibitor
COc1ccc(NC(=O)Nc2nc3nn(C(C)(C)C)cc3c3nc(-c4ccco4)nn23)cc1,CHEMBL357663,4.1416,6,2,4,5,446.471,Non-inhibitor,Non-inhibitor
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(C(C)C)c1OCC(F)(F)F,CHEMBL423503,6.8649,3,1,8,1,410.476,Non-inhibitor,Non-inhibitor
CN(c1cccnc1)c1cncc(NC(=O)c2cccc(Br)c2)c1,CHEMBL3655652,4.2593,3,1,4,3,383.249,Non-inhibitor,Non-inhibitor
CSc1cc(Oc2ccnc3ncc(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1214252,5.6342,6,3,5,4,505.45300000000003,Non-inhibitor,Non-inhibitor
COc1ccc(OC2CCN(c3nc4cnncc4nc3NC3CC3)CC2)c(F)c1.O=C(O)C(F)(F)F,CHEMBL3717381,3.8229,9,2,6,5,524.475,Non-inhibitor,Non-inhibitor
COc1cc(Nc2ncc3cc(C(=O)O)n(-c4ccccn4)c3n2)cc(OC)c1OC,CHEMBL209189,3.2831,8,2,7,4,421.413,Non-inhibitor,Non-inhibitor
CC(=O)Nc1ccc2c(c1)CC(C(=O)N(C)[C@H](CN1CC[C@H](O)C1)c1ccccc1)O2,CHEMBL382497,2.2148,4,4,6,4,423.51300000000003,Non-inhibitor,Non-inhibitor
CC(C)(C)c1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,CHEMBL319870,4.0483,4,1,4,3,359.441,Non-inhibitor,Inhibitor
CC(=O)N1CCN(CC1)C(=O)\C=C\c2ccc(Sc3ccc4OC(COc4c3)C(=O)O)c(Cl)c2,timbal,3.4195,6,3,5,4,502.976,Non-inhibitor,Non-inhibitor
OC(=O)CCN1CCS[C@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,timbal,0.3129,7,5,7,2,410.44800000000004,Non-inhibitor,Non-inhibitor
NC(=N)c1ccc(cc1)C(=O)N2CCC3(CCN(CC3)C(=O)CCC(=O)O)CC2,timbal,1.6802700000000002,4,5,5,3,400.47900000000004,Non-inhibitor,Non-inhibitor
COc1cccc(OC)c1c2ccc(CC(Nc3cccc(c3)C#N)C(=O)O)cc2,timbal,4.350280000000001,4,2,8,3,402.45,Non-inhibitor,Non-inhibitor
OC(=O)[C@@H]1CC[C@H](CC1)OC[C@@H]2C[C@H](F)CN2C(=O)Cc3ccc(NC(=O)N4CCc5ccccc45)c(Cl)c3,timbal,5.0761,6,3,7,5,558.05,Non-inhibitor,Non-inhibitor
CC(=O)N1CCN(CC1)C(=O)\C=C\c2ccc(Sc3ccc4[nH]ccc4c3)c(Cl)c2,timbal,4.6764,2,3,4,4,439.968,Non-inhibitor,Non-inhibitor
COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCC3)c4ccc(C)nc4)C(=O)O)cc2,timbal,4.68952,5,2,8,4,458.55800000000005,Non-inhibitor,Non-inhibitor
C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@@H](Cc3ccc(cc3)c4cccc(c4)C#N)C(=O)O,timbal,4.88738,5,2,8,4,586.497,Non-inhibitor,Non-inhibitor
COc1cccc(OC)c1c2ccc(CC(Nc3cccc(c3)S(=O)(=O)N4CCCC4)C(=O)O)cc2,timbal,4.2631,6,2,10,4,510.61199999999997,Non-inhibitor,Non-inhibitor
N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NC(CO)C(=O)O,timbal,-4.78563,8,10,14,0,433.42199999999997,Non-inhibitor,Non-inhibitor
Oc1ccc(cc1O)-c1oc2cc(cc(O)c2c(=O)c1O)N1CCOCC1,ippidb,2.119,6,4,2,4,371.345,Non-inhibitor,Non-inhibitor
Oc1ccc(cc1O)-c1oc2cc(Oc3ccc(F)cc3)cc(O)c2c(=O)c1O,ippidb,4.2138,7,4,3,4,396.32599999999996,Non-inhibitor,Non-inhibitor
Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,ippidb,1.9880000000000002,6,5,1,3,302.238,Non-inhibitor,Non-inhibitor
NNC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,ippidb,-0.3395,4,5,3,2,246.23,Non-inhibitor,Non-inhibitor
Cc1ccc(NC(=O)c2nc[nH]c2C(=O)NN)cc1,ippidb,0.57392,3,5,3,2,259.269,Non-inhibitor,Non-inhibitor
Nc1ccc(NC(=O)c2nc[nH]c2C(O)=O)cc1,ippidb,0.9424,4,5,3,2,246.226,Non-inhibitor,Non-inhibitor
OC(=O)c1[nH]cnc1C(=O)Nc1ccc(cc1)N(=O)=O,ippidb,1.2684,4,4,4,2,276.20799999999997,Non-inhibitor,Non-inhibitor
CC(C)c1ccccc1Sc1ccc([C@@H]2C[C@H]2C(=O)N2CCCC[C@@H]2C(O)=O)c(Cl)c1Cl,ippidb,6.8372,3,2,6,4,492.468,Non-inhibitor,Non-inhibitor
FC(F)(F)c1c(Sc2cccc(OCc3c[nH]cn3)c2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,ippidb,6.0495,4,3,7,4,557.516,Non-inhibitor,Non-inhibitor
Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(O)=O)C(=O)c1cc2ccccc2o1,ippidb,3.9226400000000003,5,4,7,5,545.617,Non-inhibitor,Non-inhibitor
CC(C)c1cccc(c1)C(=O)NC[C@H](NC(=O)c1c(Cl)cc2CN(CCc2c1Cl)C(=O)c1ccc(Cl)cc1)C(O)=O,ippidb,5.5817,5,4,8,4,616.929,Non-inhibitor,Non-inhibitor
Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)C(=O)c1ccc(Cl)cc1,ippidb,5.06234,4,4,6,5,530.024,Non-inhibitor,Non-inhibitor
OCC1(COC2(N(Cc3ccc(cc3)[N+](=O)[O-])C(=O)c4ccccc24)c5ccc(Cl)cc5)CC1,timbal,4.8944,3,2,8,5,478.93199999999996,Non-inhibitor,Non-inhibitor
