SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
CSCC[C@H]1NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)O,timbal,-3.8454,9,9,10,1,620.711,Inhibitor,Inhibitor
CC1CC(C)CN(C1)C2CC(N(C2)S(=O)(=O)c3cccc(c3)C#N)C(=O)NC(Cc4ccc(NC(=O)c5c(Cl)cncc5Cl)cc4)C(=O)O,timbal,4.43398,7,4,10,5,727.671,Inhibitor,Inhibitor
Cc1cc(Cl)cc([C@@H](CC(=O)O)NC(=O)CNC(=O)c2cc(O)cc(NC3=NCC(O)CN3)c2)c1O,timbal,0.85362,7,8,8,3,519.942,Inhibitor,Inhibitor
CN1[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NC(C(=O)N)C(C)(C)SSC[C@H](NC(=O)C)C1=O,timbal,-3.4089,8,9,8,1,633.754,Inhibitor,Inhibitor
NC(=N)NCCC[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)O,timbal,-4.423030000000001,10,12,9,2,626.653,Inhibitor,Inhibitor
OC(=O)CC(NC(=O)C1CCCN(C1)C(=O)CCC2CCNCC2)c3cncc(c3)c4ccsc4,timbal,3.4605,5,4,9,4,498.649,Inhibitor,Inhibitor
Cc1ccccc1NC(=O)Nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COc4ccc(cc4)C(=O)O)cc2C,timbal,5.20614,6,4,8,4,519.573,Inhibitor,Inhibitor
OC(=O)C[C@H](NC(=O)CN1CC[C@H](CCc2ccc3CCCNc3n2)C1=O)c4ccc5CCCc5c4,timbal,3.0417,5,4,9,5,490.60400000000004,Inhibitor,Inhibitor
COc1ccc(cc1)C2=C(C(=O)N(C)N=C2)c3ccc(C[C@H](NC(=O)c4c(Cl)cccc4Cl)C(=O)O)cc3,timbal,4.8554,6,2,8,4,552.414,Inhibitor,Inhibitor
COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCNCC3)c4cccnc4)C(=O)O)cc2,timbal,3.1905,5,3,8,4,459.546,Inhibitor,Inhibitor
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@@]3(CCCCO)CCCO3)C(=O)O)cc2,timbal,3.1945,7,3,12,3,471.55,Inhibitor,Inhibitor
N[C@@H](Cc1ccccc1)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](CO)NC2=O)C(=O)O,timbal,-1.5263,7,7,6,3,553.663,Inhibitor,Inhibitor
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N3CCC(=O)N(Cc4ccc(cc4)N(C)C)[C@@H](CC(C)C)C3=O,timbal,4.2387,3,3,9,4,528.697,Inhibitor,Inhibitor
NC(=N)NCCC[C@@H]1NC(=O)C[C@@H]2N(Cc3ccccc3)C(=O)[C@@H](CNC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)N(Cc4ccccc4)C2=O,timbal,-1.86153,8,10,10,5,691.7460000000001,Inhibitor,Inhibitor
