SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
C=CCN(Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,2p2idb,4.8877,7,4,13,4,550.6519999999999,Inhibitor,Inhibitor
c1ccc2c(c1)C[C@H]([C@H]2Cc3ccc4c(c3C(=O)O)OCO4)NC(=O)CCCN,2p2idb,2.2196,5,3,7,4,396.44300000000004,Inhibitor,Inhibitor
CN(Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,2p2idb,3.9514,7,4,11,4,518.566,Inhibitor,Inhibitor
CC1(C)C[C@@H](CCCCC(=O)N[C@H](Cc2ccccc2Cl)C(O)=O)[C@@H]2CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1,ippidb,10.0308,4,3,9,6,694.441,Inhibitor,Inhibitor
CN(Cc1ccccc1C(=O)NCc2ccc(cc2)OC)Cc3cccc(c3C(=O)O)OC,2p2idb,3.964,5,3,10,3,448.519,Inhibitor,Inhibitor
c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)O)OC[C@H](O4)CCC(=O)O)NC(=O)CCCCCN,2p2idb,3.2757,7,4,12,4,510.587,Inhibitor,Inhibitor
CC(C)(C)O[C@@H](c1c(c2ccccc2n1C)c3ccc4c(c3)CCCO4)C(=O)O,2p2idb,5.1111,4,1,4,4,393.483,Inhibitor,Inhibitor
Cc1c(c(c2ccccc2n1)c3ccc4c(c3)CCCO4)[C@@H](C(=O)O)OC(C)(C)C,2p2idb,5.47602,5,1,4,4,405.494,Inhibitor,Inhibitor
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)CCCCN,2p2idb,2.5635,5,3,11,2,378.469,Inhibitor,Inhibitor
COc1ccc(cc1)CNC(=O)c2ccccc2C[NH2+]Cc3ccc4c(c3C(=O)O)OCO4,2p2idb,2.3157,6,3,9,4,449.483,Inhibitor,Inhibitor
c1cc2c(cc1Br)C(=O)C(=O)N2Cc3ccc4c(c3C(=O)O)OCCO4,2p2idb,2.648,6,1,3,4,418.199,Inhibitor,Inhibitor
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)c3ccncc3,2p2idb,3.1433,6,2,8,3,384.43199999999996,Inhibitor,Inhibitor
c1ccc2c(c1)CC(=O)N2Cc3ccc4c(c3C(=O)O)OCO4,2p2idb,2.2028,5,1,3,4,311.293,Inhibitor,Inhibitor
C[N@H+](Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)O)OCO4,2p2idb,2.6385,5,3,8,4,439.532,Inhibitor,Inhibitor
c1ccc\2c(c1)C[C@H](/C2=C/c3ccc4c(c3C(=O)O)O[C@@H](CO4)CCC(=O)O)O,2p2idb,2.847,7,3,5,4,396.395,Inhibitor,Inhibitor
COc1ccc(cc1)CNC(=O)c2ccccc2C[N@@H+](CC=C)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,2p2idb,3.0991,8,4,14,4,575.638,Inhibitor,Inhibitor
CC[C@@H](C)NC(=O)c1ccccc1C[N@@H+](CC=C)Cc2ccc3c(c2C(=O)O)OC[C@@H](O3)CCC(=O)O,2p2idb,2.6888,7,4,13,3,511.595,Inhibitor,Inhibitor
c1ccc\2c(c1)CC(=O)/C2=C/c3ccc4c(c3C(=O)O)OCO4,2p2idb,2.7793,5,1,2,4,308.289,Inhibitor,Inhibitor
COc1ccc(cc1)C(c2ccc(cc2)OC)NC(=O)c3ccccc3CN(CC=C)Cc4ccc5c(c4C(=O)O)OCO5,2p2idb,5.8383,7,3,13,5,594.664,Inhibitor,Inhibitor
Cc1c(c(c2cc(ccc2n1)Br)c3ccc(cc3)Cl)[C@@H](C(=O)O)OC,2p2idb,5.398219999999999,4,1,4,3,420.69,Inhibitor,Inhibitor
CCC[C@H](C(O)=O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,ippidb,5.831919999999999,3,1,5,3,353.849,Inhibitor,Inhibitor
OC(=O)Cc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,ippidb,3.4756,3,2,3,3,313.74,Inhibitor,Inhibitor
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,ippidb,2.5768,4,3,1,3,270.24,Inhibitor,Inhibitor
Oc1ccc(cc1O)-c1cc(=O)c2c(O)cc(cc2o1)N1CCOCC1,ippidb,2.4134,5,3,2,4,355.346,Inhibitor,Inhibitor
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](OCc6cccc(c6)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1)C(O)=O,ippidb,9.1563,5,2,5,6,590.845,Inhibitor,Inhibitor
CN(Cc1ccccc1C(=O)NCC2CCC2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,2p2idb,3.5513,7,4,11,4,496.56,Inhibitor,Inhibitor
C=CCN(Cc1ccccc1C(=O)NCc2ccco2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,2p2idb,4.1006,7,4,13,4,534.565,Inhibitor,Inhibitor
Cc1c(cc(c2c1CCCO2)F)c3c(c(nc4n3nc(c4)c5ccccc5)C)[C@@H](C(=O)O)OC(C)(C)C,2p2idb,6.08504,7,1,5,5,503.574,Inhibitor,Inhibitor
c1cc(n(c1Cl)c2ccsc2C(=O)O)Cl,2p2idb,3.5438,2,1,2,2,262.117,Inhibitor,Inhibitor
c1ccn(c1)c2ccsc2C(=O)O,2p2idb,2.237,2,1,2,2,193.227,Inhibitor,Inhibitor
c1ccc2c(c1)/C(=C\c3cccc(c3)C(=O)O)/C(=O)N2,2p2idb,2.8775,3,2,2,3,265.268,Inhibitor,Inhibitor
c1ccc2c(c1)c(no2)CC(=O)O,2p2idb,1.4549,3,1,2,2,177.15900000000002,Inhibitor,Inhibitor
c1ccc(cc1)/C=C\c2ccc3c(c2C(=O)O)OCO3,2p2idb,3.2839,4,1,3,3,268.268,Inhibitor,Inhibitor
CN(Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)O)OCCO4,2p2idb,4.0981,5,3,8,4,452.551,Inhibitor,Inhibitor
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)Cc3c[nH]c4c3cccc4,2p2idb,4.1585,5,3,9,4,436.50800000000004,Inhibitor,Inhibitor
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)Cc3cc[nH]c3,2p2idb,3.0053,5,3,9,3,386.44800000000004,Inhibitor,Inhibitor
c1ccc2c(c1)/C(=C\c3ccc4c(c3C(=O)O)OCO4)/C(=O)N2,2p2idb,2.6062,5,2,2,4,309.277,Inhibitor,Inhibitor
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)Cc3c[nH]cn3,2p2idb,2.4003,6,4,9,3,387.436,Inhibitor,Inhibitor
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)c3ccc(cc3)N,2p2idb,3.3305,5,3,8,3,398.459,Inhibitor,Inhibitor
c1ccc\2c(c1)C[C@@H](/C2=C/c3ccc4c(c3C(=O)O)OCO4)NC(=O)CCCCCN,2p2idb,3.2141,5,3,8,4,422.481,Inhibitor,Inhibitor
c1ccc2c(c1)c(c[nH]2)Cc3ccc4c(c3C(=O)O)OCO4,2p2idb,3.1856,4,2,3,4,295.29400000000004,Inhibitor,Inhibitor
c1ccc2c(c1)C[C@H]([C@H]2Cc3ccc4c(c3C(=O)O)OCO4)O,2p2idb,2.3568,5,2,3,4,312.32099999999997,Inhibitor,Inhibitor
Cc1cc(nn1c2ccccc2CN)CO,2p2idb,1.13172,2,2,3,2,217.27200000000002,Inhibitor,Inhibitor
c1ccc\2c(c1)C/C(=N\O)/C2=C/c3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,2p2idb,3.3163,7,3,5,4,409.394,Inhibitor,Inhibitor
c1ccc2c(c1)[C@@H](C(=O)N2)Cc3ccc4c(c3C(=O)O)OCO4,2p2idb,2.3919,5,2,3,4,311.293,Inhibitor,Inhibitor
c1ccc2c(c1)CC(=O)N2Cc3ccccc3C(=O)O,2p2idb,2.4741,3,1,3,3,267.284,Inhibitor,Inhibitor
CC(C)(C)NC(=O)[C@@H](c1ccccc1)NC(=O)N(C)Cc2ccc3c(c2C(=O)O)OCO3,2p2idb,2.9109,6,4,6,3,441.48400000000004,Inhibitor,Inhibitor
CCCCNC(=O)[C@H](c1ccccc1)NC(=O)N(C)Cc2ccc3c(c2C(=O)O)OCO3,2p2idb,2.9125,6,4,9,3,441.48400000000004,Inhibitor,Inhibitor
