SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
FC(F)(F)c1c(Sc2cccc(NC3CCCC3)c2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,ippidb,7.1019,2,2,6,4,544.561,Inhibitor,Inhibitor
C[C@H]1CC[C@H](CC1)Oc1cccc(c1)Sc1ccc(\C=C\C(=O)N2CCOCC2)c(C(F)(F)F)c1C(F)(F)F,ippidb,7.7049,3,1,6,4,573.599,Inhibitor,Inhibitor
FC(F)(F)c1c(Sc2ccccc2OC2CCCCC2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,ippidb,7.4589,3,1,6,4,559.572,Inhibitor,Inhibitor
CCOC(=O)[C@H]1CCCN(C1)c1ccccc1Sc1ccc(cc1C(F)(F)F)[C@@H]1C[C@H]1C(=O)NCCCN1CCCC1=O,ippidb,5.8683,4,2,11,5,617.734,Inhibitor,Inhibitor
Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(O)=O)C(=O)c1ccc(Cl)cc1,ippidb,3.8298400000000004,5,4,7,4,540.0409999999999,Inhibitor,Inhibitor
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N(Cc2ccccc2)[C@@H](CC(C)C)C1=O,ippidb,4.1727,3,3,8,4,485.62800000000004,Inhibitor,Inhibitor
CC(C)C[C@@H]1N([C@H](C)CCN([C@@H](Cc2ccc3ccccc3c2)C(N)=O)C1=O)C(=O)Cc1ccccc1,ippidb,4.343,3,3,8,4,499.655,Inhibitor,Inhibitor
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCC(CO)CC1,ippidb,7.2507,2,1,6,4,486.603,Inhibitor,Inhibitor
Clc1cc(Cl)cc(c1)N1C(=O)[C@H]2C[C@H](CN2C1=O)OCc1ccc(Br)cc1,ippidb,4.8822,3,1,4,4,470.15,Inhibitor,Inhibitor
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCC(CC1)C(N)=O,ippidb,6.7437,2,1,6,4,499.602,Inhibitor,Inhibitor
OC(=O)C1CCN(CC1)c1cc(ccn1)-c1ccc(Sc2ccc3OCCOc3c2)c(c1)C(F)(F)F,ippidb,5.9908,5,1,5,5,516.5409999999999,Inhibitor,Inhibitor
COc1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCC(CC1)C(O)=O,ippidb,6.2282,4,1,6,4,488.531,Inhibitor,Inhibitor
Cc1ccc2c(cn(c2c1)S(C)(=O)=O)C(=O)NC[C@H](NC(=O)c1c(Cl)cc2CN(CCc2c1Cl)C(=O)c1ccc(Cl)cc1)C(O)=O,ippidb,4.52912,7,4,8,5,706.0039999999999,Inhibitor,Inhibitor
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cccc(Cl)c1Cl,ippidb,3.9004,3,3,5,3,377.227,Inhibitor,Inhibitor
FC(F)(F)c1c(Sc2cccc(OCc3ccccn3)c2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,ippidb,6.7214,4,1,7,4,568.539,Inhibitor,Inhibitor
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1cc(ncn1)N1CCC[C@@H](C1)C(O)=O,ippidb,6.7379999999999995,4,1,6,4,501.574,Inhibitor,Inhibitor
Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)c1ccccc1)C(O)=O)C(=O)c1ccc(Cl)cc1,ippidb,3.7683400000000002,5,4,7,4,534.012,Inhibitor,Inhibitor
NC(=O)C[C@H](NC(=O)c1c(Cl)cccc1Cl)C(O)=O,ippidb,1.0518,4,3,5,1,305.117,Inhibitor,Inhibitor
CC(C)c1ccccc1Sc1ccc([C@@H]2C[C@H]2C(=O)NCCCC(O)=O)c(Cl)c1Cl,ippidb,6.3525,3,2,9,3,466.43,Inhibitor,Inhibitor
OC(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1c(Cl)cccc1Cl,ippidb,2.1422,4,4,5,2,328.155,Inhibitor,Inhibitor
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1F,ippidb,2.7327,4,3,5,3,326.327,Inhibitor,Inhibitor
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1Br,ippidb,3.3561,3,3,5,3,387.233,Inhibitor,Inhibitor
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CC[C@H](C1)NC(C)=O,ippidb,6.7568,2,1,6,4,499.602,Inhibitor,Inhibitor
