SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
OC(=O)[C@@H](N1[C@@H](c2ccc(Cl)nc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,ippidb,4.9545,5,3,4,4,582.181,Inhibitor,Inhibitor
OCC1(COC2(N(Cc3ccc(cc3)[N+](=O)[O-])C(=O)c4ccccc24)c5ccc(Cl)cc5)CC1,timbal,4.8944,3,2,8,5,478.93199999999996,Inhibitor,Inhibitor
NCCCCC(CN(C(CCC(=O)O)CN(CCC(=O)N)C(=O)NCCCc1ccc(Br)cc1)C(=O)NCCc2ccc(Br)cc2)N(CC(CCC(=O)O)NC(=O)N)C(=O)NCCCc3ccc(Br)cc3,timbal,6.3251,9,12,33,3,1181.864,Inhibitor,Non-inhibitor
OC(=O)CCCCN1c2ccc(I)cc2C(=O)N([C@@H](C(O)=O)c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)C1=O,ippidb,6.2089,6,3,9,4,681.31,Inhibitor,Inhibitor
COc1ccc(C2=N[C@H]([C@H](N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1,ippidb,5.8858,4,3,6,5,581.5,Inhibitor,Inhibitor
CN1c2ncnn2[C@H](C2=C1c1ccccc1O[C@@H]2c1ccc(Br)cc1)c1ccc(cc1)C#N,ippidb,5.49648,3,0,2,6,496.36800000000005,Inhibitor,Inhibitor
CCOc1cc(ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@](C)(N1C(=O)N1CCN(CCC(F)(F)F)CC1)c1ccc(Cl)cc1)C(C)(C)C,ippidb,9.2726,2,3,7,5,703.677,Inhibitor,Inhibitor
CC(C)(C)C[C@H]1N[C@H]([C@H](c2cccc(Cl)c2)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)NCC[C@H](O)CO,ippidb,3.6032,4,5,7,4,534.484,Inhibitor,Inhibitor
C[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)N(CCN2CCOCC2)c2ccc(I)cc2C1=O)c1ccc(Cl)cc1,ippidb,6.2215,3,2,6,5,664.3710000000001,Inhibitor,Inhibitor
CN(C)CCNC(=O)[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,ippidb,5.1527,3,4,7,4,651.332,Inhibitor,Inhibitor
COc1cc(ccc1NC(=O)C1NC(CC(C)(C)C)C2(C1c1cccc(Cl)c1F)C(=O)Nc1cc(Cl)sc21)C(O)=O,ippidb,6.2898,6,4,6,5,620.53,Inhibitor,Inhibitor
OC1(N(Cc2ccc(cc2)[N+](=O)[O-])C(=O)c3ccccc13)c4ccc(Br)cc4,timbal,4.2067,2,2,4,4,439.265,Inhibitor,Inhibitor
