SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Actual,pdCSM-PPI
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(CC)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,3.2257,3,5,11,4,547.744,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1nc2c(cccc2s1)-c1ccccc1F,ippidb,5.4389,4,3,7,5,522.69,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2C(C)=O)c1c[nH]c2ccc(F)cc12,ippidb,2.8952,4,5,6,5,511.642,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.9185,3,4,7,4,476.621,Inhibitor,Inhibitor
CCNC(=O)NC[C@H]1CC[C@H]2CC[C@H](N2C(=O)[C@H]1NC(=O)[C@@H](N)CC)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.2030000000000003,4,6,10,4,562.715,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2C(C)=O)c1c[nH]c2cc(F)ccc12,ippidb,1.9709,4,5,6,4,471.577,Inhibitor,Inhibitor
CC[C@H](N)C(=O)N[C@@H]1CCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.6578,3,4,7,4,462.594,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2Cc1ccncc1)c1c[nH]c2cc(F)ccc12,ippidb,3.9439,4,5,8,6,560.7180000000001,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H]([C@@H](C)OC)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2C(C)=O)c1c[nH]c2ccc(F)cc12,ippidb,1.3498,5,5,7,4,487.57599999999996,Inhibitor,Inhibitor
C[C@H](N)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc12)C(C)(C)C,ippidb,2.0493,3,4,5,3,428.577,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C1CCOCC1)C(=O)N1CCC[C@H]1c1nc(c(s1)C#CCO)-c1cccc2ccccc12,ippidb,3.4899,5,4,7,5,560.72,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2c1ncccn1)c1c[nH]c2cc(F)ccc12,ippidb,1.1438,6,5,7,5,509.586,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1nc(cs1)-c1cccc2ccccc12,ippidb,5.2998,3,3,7,5,504.7,Inhibitor,Inhibitor
CC[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1,ippidb,1.1719,3,4,8,2,388.51199999999994,Inhibitor,Inhibitor
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CCN)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.4934,3,5,10,4,519.69,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3)c4ccccc4,timbal,3.3486,3,4,9,4,498.62699999999995,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CC[C@H]2NC[C@@H]([C@@H]12)c1c[nH]c2cc(F)ccc12,ippidb,1.712,3,5,6,4,429.54,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](C1CCOCC1)C(=O)N1CCC[C@H]1c1cc2nc(C)nc(-c3ccc(F)cc3)c2[nH]1,ippidb,3.25522,6,4,7,5,522.625,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cc2ccnc(-c3ccccc3)c2[nH]1)c1ccccc1,ippidb,4.3588,3,4,7,5,481.6,Inhibitor,Inhibitor
CC[C@H](N)C(=O)N[C@H]1CC[C@H]2CC[C@H](N2C1=O)C(=O)NCc1ccccc1,ippidb,0.6783,3,4,6,3,372.469,Inhibitor,Inhibitor
C[C@H](N)C(=O)Nc1nc(c(s1)-c1ccccc1)-c1ccccc1,ippidb,3.7628,2,2,4,3,323.421,Inhibitor,Inhibitor
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNC(=O)NCc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,3.6439999999999997,4,6,12,5,638.813,Inhibitor,Inhibitor
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNCc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,3.9344,3,5,12,5,595.788,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)NC(c2ccccc2)c3ccccc3,timbal,3.022,3,4,10,3,478.63699999999994,Inhibitor,Inhibitor
CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2SC[C@H](N2C1=O)C(=O)Nc1cc(C)nn1-c1ccccc1,ippidb,1.66592,4,4,6,4,470.599,Inhibitor,Inhibitor
