SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(Cc2ccccc2-c2cccc(Cl)c2)CC1,ippidb,8.4385,6,5,16,7,928.569,7.31,7.55
CCOc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)N3CCN(CC3)c4cccc(c4)c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5c7ccc(Cl)cc7,timbal,7.21432,4,4,14,7,824.492,5.78941397509484,6.79
COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,ippidb,6.37272,4,1,7,6,556.666,6.8,6.03
CCN(C(=O)c1cc(C)n(n1)-c1ccccc1C(=O)N1CCc2ccccc2C1)c1ccccc1,ippidb,5.04592,3,1,5,5,464.569,5.72,5.38
Cc1c(C(=O)O)c(c2cccc(c2)N3CCN(CC3)c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc7ccccc7)c(c5)S(=O)(=O)C(F)(F)F)cc4)c(c8ccc(Cl)cc8)n1C,timbal,9.85962,7,5,17,8,1051.676,7.99139982823808,7.57
CCCCc1c(c(CO)nn1c2cccc(CO)c2)c3ccc(cc3C(=O)N4CCc5ccccc5C4)C(=O)NS(=O)(=O)c6ccc7ccccc7c6,timbal,6.3369,7,4,11,7,728.871,7.82390874094432,6.82
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6NCCc6c5,timbal,6.16172,6,4,12,6,731.319,7.63827216398241,6.8
OC(=O)c1cccc(c1)-c1ccc(\C=c2/sc3=NC4=C(CCc5ccccc45)[C@@H](c4cccc(F)c4)n3c2=O)o1,ippidb,5.416,4,1,4,7,548.595,5.52,5.3
CC(C)(C)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,ippidb,9.2845,7,5,16,8,990.803,7.39,6.39
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)-c1cccc(C)c1C(=O)N1Cc2ccccc2C[C@H]1CN,ippidb,5.71074,3,3,10,4,550.147,7.38,6.99
CN(C)CC[C@H](CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)Nc3ccc(cc3)N4CCN(CC4)c5cccc(c5)c6c(C(=O)O)c(C)n(C7CC7)c6c8ccc(Cl)cc8,timbal,10.37712,4,4,18,8,934.585,8.11350927482752,7.49
CCN(CC)C(=O)c1nn(c(C)c1Br)-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,ippidb,3.98462,4,3,6,4,525.447,5.44,6.05
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)-c1ccc(NC(=O)c2ccccc2)cc1C(=O)N1CCc2ccccc2C1,ippidb,7.32732,4,3,11,5,626.201,6.09,6.52
CN(C)CCC[C@](O)(c1ccccc1)c1cccc(OCc2ccc(cc2)-c2ccc(cc2)C(O)=O)c1,ippidb,6.2085,4,3,11,4,495.619,5.28,4.77
COc1ccccc1[C@@H]1C2=C(N=c3s\c(=C/c4cccc(OCC(O)=O)c4)c(=O)n13)c1ccccc1CC2,ippidb,3.7907,5,1,6,6,524.598,5.51,4.89
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1N(=O)=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCC(CC1)NCc1ccccc1-c1ccc(Cl)cc1,ippidb,8.317,3,4,17,6,827.473,5.3,5.65
C[C@H]1C[C@H](CCN1CC1=C(CC(C)(C)CC1)c1ccc(Cl)cc1)N1CCc2c(C1)ncnc2NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)c(c1)S(=O)(=O)C(F)(F)F,ippidb,9.3943,7,5,16,8,1016.719,6.69,7.1
CCCCN(CCCC)c1nccc(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(I)cc6c5,timbal,7.6252,6,2,12,6,801.751,6.01322826573376,6.74
CCCCN(CCCC)C(=O)c1cc(C)n(n1)-c1ccc(OCC(O)=O)cc1C(=O)N1CCc2ccccc2C1,ippidb,4.88502,6,3,12,4,546.668,8,6.07
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1nnc2CCCN(CCn12)C1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,ippidb,7.9007,7,5,16,8,987.637,6.71,6.63
OC(=O)c1ccc(cc1)-c1ccc(OCCc2cc(ccc2Cl)[C@@](O)(CCN2CCOCC2)c2ccc(Br)cc2)cc1,ippidb,7.0474,5,3,11,5,650.997,6.7,5.12
CCCCc1c(c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccccc6c5)c(nn1c7cccc(Oc8ccccc8)c7)C(=O)OCC,timbal,9.3213,8,2,13,8,832.979,6.85387196432176,6.74
C[C@H](N1CCC(CC1)N1CCc2c(C1)nc(nc2NS(=O)(=O)c1ccc(N[C@H](CCN(C)C)CSc2ccccc2Cl)c(c1)S(=O)(=O)C(F)(F)F)C(F)(F)F)c1ccccc1-c1ccc(Cl)cc1,ippidb,10.6717,6,5,16,7,1045.038,7,7.19
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3Cc4ccccc4C[C@H]3CN5CCCC5)C(=O)NS(=O)(=O)c6ccc7ccccc7c6,timbal,7.81132,6,4,14,7,823.46,7.72124639904717,7.29
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1N(=O)=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCC(CC1)NC(=O)c1ccccc1-c1ccc(Cl)cc1,ippidb,7.9572,4,4,16,6,841.456,5.3,5.63
CCCCN(CCCC)C(=O)c1cc(C)n(n1)-c1cccc(C)c1C(=O)N1Cc2ccccc2C[C@H]1CN,ippidb,5.05734,3,3,10,4,515.702,6.76,6.78
Cc1cccc(c1C(=O)N2Cc3ccccc3C[C@@H]2CO)n4nc(cc4C)C(=O)N(c5ccccc5)c6ccccc6,timbal,6.02704,4,2,6,6,556.666,6.4089353929735,6
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2cc(ccc12)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,ippidb,8.6618,7,4,16,8,966.574,7.8,7.77
CC1(C)CCC(=C(CN2CCN(CC2)c2ccc3c(NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(c4)S(=O)(=O)C(F)(F)F)ncnc3c2)C1)c1ccc(Cl)cc1,ippidb,9.4585,7,4,16,8,998.66,7.54,7.15
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2CN(Cc12)C1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,ippidb,8.1666,7,5,16,8,956.579,6.01,6.96
CCCCc1c(c(CO)nn1c2ccc(Oc3cccc(Cl)c3)cc2)c4ccc(cc4C(=O)N5CCc6ccccc6C5)C(=O)NS(=O)(=O)CC,timbal,7.0979,7,3,12,6,727.283,6.72124639904717,6.79
CN(C)CCC[C@](O)(c1ccccc1)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(O)=O)cc1,ippidb,6.2085,4,3,11,4,495.619,5.24,5.23
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3Cc4ccccc4C[C@H]3COCCCOC)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,timbal,7.76862,8,3,18,6,842.459,7.65757731917779,7.02
OC(=O)COc1cccc(\C=C\2/SC3=NC4=C(CCc5ccccc45)C(N3C2=O)c6ccccc6)c1,timbal,3.7821,4,1,5,6,494.572,4.98716277529483,4.9
Cc1c(Cl)c(nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN)C(=O)N(c1ccccc1)c1ccccc1,ippidb,6.33842,3,2,6,6,576.1,7.52,6.61
COc1cccc(c1)[C@@H]1C2=C(N=c3s\c(=C/c4ccc(o4)-c4cc(ccc4C)C(O)=O)c(=O)n13)c1ccccc1CC2,ippidb,5.59392,4,1,5,7,574.658,5.14,4.94
CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O,ippidb,3.1253,4,4,2,3,327.38,5.51,5.53
CCCCN(CCCC)c1ncc(Cl)c(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,timbal,7.674,6,2,12,6,710.3,6.79588001734408,6.66
