SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
C[C@H]1CN(C(=O)c2ccco2)c2cc(ccc2N1C(C)=O)-c1ccc(cc1)S(C)(=O)=O,ippidb,3.7519,4,0,3,4,438.505,6.3979400087,6.42
CCn1cc(-c2cccc(c2)C(=O)N(C)C)c2cc[nH]c2c1=O,ippidb,2.7183,2,2,3,3,309.369,6.3010299957,4.98
COc1ccc(cc1S(=O)(=O)N1CCCC1)-c1c(C)noc1C,ippidb,2.75154,4,0,4,3,336.413,6,5.72
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CC1,ippidb,2.70756,3,1,4,3,306.387,6,5.41
CN(C)C(=O)c1cccc(c1)-c1cn(CC=C)c(=O)c2[nH]ccc12,ippidb,2.8844,2,2,4,3,321.38,6.7695510786,6.59
Cc1cc(cc(C)c1O)-c1nc2sc3CCCc3c2c(=O)[nH]1,ippidb,3.46274,3,3,1,4,312.394,5.1951793213,5.37
COc1ccc(cc1S(=O)(=O)NC1CC1)-c1c(C)noc1C,ippidb,2.40774,4,1,5,3,322.386,5.9,5.75
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCc1ccccc1,ippidb,3.74536,3,1,5,3,356.447,5.4,5.7
COc1ccc(cc1S(=O)(=O)Nc1ccccc1)-c1c(C)noc1C,ippidb,3.76784,4,1,5,3,358.419,5.7,5.46
COc1ccc(cc1S(=O)(=O)Nc1ccccc1Cl)-c1c(C)noc1C,ippidb,4.42124,4,1,5,3,392.864,5.4,5.7
COc1cccc(NS(=O)(=O)c2cc(ccc2C)-c2c(C)noc2C)c1,ippidb,4.07626,4,1,5,3,372.446,5.7,5.51
Cc1ccc(cc1)-c1cn(C)c2c1nc[nH]c2=O,ippidb,2.23702,2,2,1,3,239.278,4.5086383062,4.26
Cn1cc(-c2ccccc2)c2sc(cc2c1=O)C(=N)NC1CCS(=O)(=O)CC1,ippidb,2.75917,3,2,3,4,415.54,7.4000078224,7.1
COc1ccc(cc1OC)-c1cn(C)c(=O)c2cc(sc12)C(=O)NC1CCS(=O)(=O)CC1,ippidb,2.5912,6,1,5,4,476.576,7.8999742699,7.07
CNC(=O)c1cc2c(s1)c(cn(C)c2=O)-c1ccc(OC)c(OC)c1,ippidb,2.6438,4,1,4,3,358.419,6.9000087665,5.47
Oc1ccc(cc1)-c1nc2sc3CCCCc3c2c(=O)[nH]1,ippidb,3.236,3,3,1,4,298.367,5.1354889189,5.32
FC(F)(F)c1ccc(cc1)-c1nc2sc3CCCc3c2c(=O)[nH]1,ippidb,4.1591,2,2,1,4,336.338,5.8153085692,5.38
CCOc1cc(cc(c1)-c1c(C)noc1C)C(O)=O,ippidb,3.05534,4,1,4,2,261.277,4.5497508917,5.39
Cc1noc(C)c1-c1cccc(c1)S(=O)(=O)NC1CC1,ippidb,2.39914,3,1,4,3,292.36,5.5,5.84
