SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)C)C(=O)NCc3ccccc3,timbal,-0.0839,7,8,15,3,624.743,3.55284196865778,3.35
NC(=O)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,3.4035,4,3,6,3,362.389,6.44249279809434,6.45
O=C(Nc1ccccc1)Nc2ncccc2OCc3ccccc3,timbal,4.3046,3,2,5,3,319.364,6.12262865413023,5.89
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccccc3)cc2)c1,timbal,3.59272,3,3,5,3,388.474,6.23657200643706,6.39
Clc1cc(Cl)cc(NC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2)c1,timbal,7.1965,2,3,4,3,469.155,6.16115090926274,5.94
Fc1cccc(F)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.1742,4,2,2,4,364.351,6.58004425151024,6.29
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CC(C)C)C(=O)N[C@H](C)C(=O)N,timbal,-1.3841,8,9,17,2,647.778,3.78251605578609,3.16
CCOC(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,4.4813,5,2,7,3,391.427,7.69897000433602,6.48
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NC(C)(C)C(=O)NCC(=O)N2CCC[C@H]2C(=O)NC3(CCCC3)C(=O)NCc4ccccc4,timbal,1.2305,7,8,15,4,678.835,3.30102999566398,3.38
CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NCC(=O)N[C@@H](C)C(=O)N,timbal,-3.6842,9,10,16,2,648.722,2.55284196865778,3.36
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2c[nH]cn2)C(=O)N[C@@H](C)C(=O)O,timbal,-1.9884,8,9,14,2,564.644,2.69897000433602,3.51
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NC3CCCC3C(=O)NCc4ccccc4,timbal,1.3324,7,8,16,4,692.862,3.30102999566398,3.35
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)CCc2c[nH]cn2)C(=O)N[C@H](C)C(=O)N,timbal,-1.5249,7,8,14,2,548.645,2.58502665202918,3.49
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(F)c3)cc2)c1,timbal,3.73182,4,3,5,3,406.464,6.42021640338319,6.44
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(Cl)c3)cc2)c1,timbal,4.24612,3,3,5,3,422.919,6.48148606012211,6.27
O=C(NCc1cccc2ccccc12)Nc3cccc(NC(=O)NCc4cccc5ccccc45)c3,timbal,6.6364,2,4,6,5,474.564,5.71669877129645,5.33
Clc1cc(Cl)cc(NC(=S)Nc2cccc(NC(=S)Nc3cc(Cl)cc(Cl)c3)c2)c1,timbal,7.918,0,4,4,3,516.306,6.31875876262441,6.14
Cc1ccccc1CNC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2,timbal,5.87582,2,3,5,3,428.319,5.67366413907125,5.62
CC(C)CCCOc1cccnc1NC(=O)Nc2ccccc2,timbal,4.5406,3,2,7,2,313.401,5.38721614328026,5.98
Fc1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.0351,3,2,2,4,346.361,6.79860287567955,6.95
Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)NCc3ccccc3)c2,timbal,5.5674,2,3,5,3,414.292,5.47495519296315,5.81
CN(C)c1ccc(NC(=O)Nc2cc(NC(=O)Nc3ccc(cc3)N(C)C)c(Br)cc2Br)cc1,timbal,6.6316,2,4,6,3,590.32,5.53760200210104,5.39
FC(F)(F)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,5.3234,3,2,5,3,387.361,6.30189945437661,6.57
Oc1cccc(O)c1C(=O)NC(=O)NCc2ccccc2,timbal,1.7374,4,4,3,2,286.287,6.43179827593301,7.19
Brc1cc(Br)c(NC(=O)Nc2ccc(I)cc2)cc1NC(=O)Nc3ccc(I)cc3,timbal,7.7088,2,4,4,3,755.974,6.22914798835786,5.36
Oc1cccc(O)c1C(=O)NC(=O)NC2CCCCC2,timbal,1.8699,4,4,2,2,278.308,6.86646109162978,6.6
Fc1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)c(F)c1,timbal,4.5828,5,2,5,3,355.344,6.33913452199613,7.18
COc1cccc(NC(=O)NC2CCCC(C2)NC(=O)Nc3cccc(OC)c3)c1,timbal,3.9582,4,4,6,3,412.49,5.02227639471115,5.43
O=C(NCC(c1ccccc1)c2ccccc2)Nc3cccc(NC(=O)NCC(c4ccccc4)c5ccccc5)c3,timbal,7.5938,2,4,10,5,554.694,5.31425826139774,5.71
O=C(Nc1cccc(c1)C#N)Nc2ncccc2OCc3ccccc3,timbal,4.17628,3,2,5,3,344.374,5.25963731050576,6.19
FC(F)(F)c1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.9148,2,2,2,4,396.368,6.43889861635094,6.66
NS(=O)(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,2.952,5,3,6,3,398.444,7.22184874961636,7.34
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N3CCC[C@H]3C(=O)O,timbal,0.2295,4,5,6,3,358.398,7.48004081924793,6.3
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccc(C)c(Cl)c3)cc2)c1,timbal,4.55454,3,3,5,3,436.946,6.18708664335714,6.47
Clc1cc(Cl)cc(NC(=O)NC2CCCC(C2)NC(=O)Nc3cc(Cl)cc(Cl)c3)c1,timbal,6.5546,2,4,4,3,490.218,5.3767507096021,5.52
CSc1cccc(F)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.757,3,2,3,4,392.455,5.71896663275227,6.67
CC[C@@H](C)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)C(C)(C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](NC(=O)C)C(C)C)C(=O)N[C@H](C)C(=O)N,timbal,-1.8794,9,10,18,2,718.857,3.11918640771921,3.39
Clc1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,4.958,3,2,5,3,353.809,6.5003129173816,6.4
Clc1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,4.5494,2,2,2,4,362.816,6.98716277529483,6.66
FC(F)(F)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,5.3234,3,2,5,3,387.361,6.5185573714977,6.41
Cc1ccc(NC(=S)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)cc1,timbal,4.06122,3,3,5,3,404.542,6.34678748622466,6.7
CCN(CC)c1nc(C)c(c(NCCNC(=S)Nc2ccc(C)c(Cl)c2)n1)[N+](=O)[O-],timbal,3.89974,2,3,9,2,451.984,6.13076828026902,6.08
CCN(CC)c1nc(C)c(c(NCCNC(=S)Nc2cccc(Br)c2)n1)[N+](=O)[O-],timbal,3.70042,2,3,9,2,482.408,6.09151498112135,6.15
Clc1ccc(NC(=S)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)cc1,timbal,4.4062,3,3,5,3,424.96,6.88605664769316,6.33
CNS(=O)(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,timbal,3.2127,5,3,7,3,412.471,6.49485002168009,7.46
Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)Cc3cccc4ccccc34)c2,timbal,6.5801,2,2,5,4,449.337,5.95078197732982,6.05
Cc1ccc(NC(=S)Nc2ccc(C)c(c2)[N+](=O)[O-])cc1Cl,timbal,4.67394,0,2,3,2,335.816,6.33724216831843,6.2
O=C(NC1c2ccccc2c3ccccc13)NC(=O)c4ccccc4C#N,timbal,3.76768,2,2,2,4,353.381,7.14752000636314,6.06
Oc1cccc(O)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,3.3072,4,4,2,4,360.369,7.5003129173816,6.48
O=C(NC1c2ccccc2c3ccccc13)NC(=O)c4ccccc4OCc5ccccc5,timbal,5.475,3,2,5,5,434.495,7.91721462968355,6.64
O=C(NC1CCCC(C1)NC(=O)Nc2cccc3ccccc23)Nc4cccc5ccccc45,timbal,6.2474,2,4,4,5,452.558,5.34198860334289,5.64
CCc1ccccc1NC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2,timbal,6.4521,2,3,5,3,428.319,5.85078088734462,6.09
Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)Cc3ccc4ccccc4c3)c2,timbal,6.5801,2,2,5,4,449.337,6.05551732784983,5.95
NC(=O)c1ccccc1NC(=O)Nc2cc(NC(=O)Nc3ccccc3C(=O)N)c(Br)cc2Br,timbal,4.6974,4,6,6,3,590.232,5.22914798835786,5.47
