SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccccc4,timbal,4.1742,2,1,2,4,294.35,7.26760624017703,6.89
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(C)CC4,timbal,2.5318,3,2,5,4,378.476,6.09151498112135,6.67
CC1(C)Oc2cc(OC(=O)c3ccc(OCc4ccccc4)c(OCc5ccccc5)c3)ccc2CC1O,timbal,6.1382,6,1,8,5,510.586,5.13667713987954,5.25
O=C1N(C(=Nc2ccccc12)CN3CCNCC3)c4ccccc4OCc5ccccc5,timbal,3.3699,3,2,6,5,426.52,4.64016451766011,6.05
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,5.4722,4,1,6,6,431.532,6.13076828026902,5.77
COC(=O)c1cccc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.9585,4,1,6,6,419.521,6.15490195998574,5.76
COc1cc(OC)cc(c1)c2oc3cc4OC(Cc4cc3c2)C(C)(C)O,timbal,4.1914,4,1,4,4,354.402,8,6.71
Cc1ccc(OCC(=O)Nc2cc(ccc2O)B3OC(C)(C)C(C)(C)O3)cc1,timbal,3.01732,5,2,5,3,383.253,4.04287180232319,4.59
NC(=O)c1ccnc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,3.6658,4,2,6,6,405.498,5.50863830616573,5.3
O=C(Nc1cccc(c1)C(=O)OCCN2CCCC2)\C=C\Oc3ccc(cc3)C45CC6CC(CC(C6)C4)C5,timbal,5.9382,4,2,9,7,514.666,5.86966623150499,5.22
COC(=O)c1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,timbal,4.7293,3,3,6,3,375.428,5.14206473528057,4.47
OC(=O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.5757,5,3,6,6,421.493,5.50863830616573,5.27
C[C@@H](CC[C@@H]1[C@@H](C)[C@@]2(C)CC[C@]1(C)O2)[C@H]3CCC(=C[C@H]3O)C,timbal,4.7136,2,1,4,3,306.49,6.08618614761628,4.76
CC1(C)Oc2cc3oc(cc3cc2CC1O)c4cc(O)cc(O)c4,timbal,3.5854,4,3,1,4,326.348,4.97061622231479,7.47
COc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(CC4)C(=O)c5occc5,timbal,2.9453,4,2,5,5,444.491,5.48148606012211,5.92
COc1cc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc(OC)c1,timbal,4.9599,3,3,7,3,377.444,4.7281583934635,4.52
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C(C)(C)CC(C)(C)C)c1,timbal,5.7182,4,1,7,2,409.526,5.98296666070122,5.04
COc1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.9513,2,3,6,3,347.418,4.7594507517174,4.51
COC(=O)c1cncc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.3535,5,1,6,6,420.509,5.30102999566398,5.51
NS(=O)(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,4.333,4,2,6,6,452.576,5.62342304294349,5.89
COc1cc(nc(n1)c2ccc(NC(=O)CCl)cn2)C(F)(F)F,timbal,2.7433,5,1,4,2,346.696,5.45593195564972,6.02
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccncc4,timbal,3.5692,3,1,2,4,295.338,5.95860731484177,6.81
CC1(C)OB(OC1(C)C)c2ccc(O)c(NC(=O)COc3ccc(cc3)C4CCCCC4)c2,timbal,4.7566,5,2,6,4,451.372,4.15242734085789,4.74
COc1cccc(c1)c2ccc(cc2)C(=O)Oc3ccc4CC(O)C(C)(C)Oc4c3,timbal,4.6558,5,1,4,4,404.462,4.76447155309245,4.76
COc1c2C=CC(C)(C)Oc2ccc1C(C3CCCCC3)n4cnc5c(Cl)cccc45,timbal,7.0522,3,0,4,5,436.983,5.1249387366083,6.35
Cc1ccc(Cn2nc(cc2C)c3nc4ccc(cc4[nH]3)c5ccc(Cl)cc5)cc1,timbal,6.41194,2,2,4,5,412.924,8.52287874528034,5.03
Oc1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.6483,2,4,5,3,333.391,4.48545224733971,4.55
COc1ccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,timbal,4.9513,2,3,6,3,347.418,4.63827216398241,4.47
OC(=O)c1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,timbal,4.6409,3,4,6,3,361.401,4.28650945690606,4.63
Oc1ccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,timbal,4.6483,2,4,5,3,333.391,4.44977164694491,4.55
