SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
CC1(C)C[C@@H](CCCCC(=O)N[C@H](Cc2ccccc2Cl)C(O)=O)[C@@H]2CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1,ippidb,10.0308,4,3,9,6,694.441,6.19,5.65
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,ippidb,2.5768,4,3,1,3,270.24,5.82,5.83
Oc1ccc(cc1O)-c1cc(=O)c2c(O)cc(cc2o1)N1CCOCC1,ippidb,2.4134,5,3,2,4,355.346,5.8,5.9
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](OCc6cccc(c6)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1)C(O)=O,ippidb,9.1563,5,2,5,6,590.845,5.94,5.58
Oc1ccc(cc1)-c1coc2cc(cc(O)c2c1=O)N1CCOCC1,ippidb,2.7078,4,2,2,4,339.347,5.77,5.77
Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,ippidb,2.5768,4,3,1,3,270.24,5.96,5.79
Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1,ippidb,2.5099,5,3,1,3,272.256,5.77,5.4
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,ippidb,2.2824,5,4,1,3,286.239,6.35,5.86
Oc1cc2oc(cc(=O)c2c(O)c1O)-c1ccccc1,ippidb,2.5768,4,3,1,3,270.24,5.57,5.97
Oc1ccc(cc1O)-c1oc2cc(cc(O)c2c(=O)c1O)N1CCOCC1,ippidb,2.119,6,4,2,4,371.345,6.01,5.75
Oc1ccc(cc1O)-c1oc2cc(Oc3ccc(F)cc3)cc(O)c2c(=O)c1O,ippidb,4.2138,7,4,3,4,396.326,6.03,5.7
Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,ippidb,1.988,6,5,1,3,302.238,6.22,6.07
NNC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,ippidb,-0.3395,4,5,3,2,246.23,6.4,5.02
Cc1ccc(NC(=O)c2nc[nH]c2C(=O)NN)cc1,ippidb,0.57392,3,5,3,2,259.269,4.8,5.88
Nc1ccc(NC(=O)c2nc[nH]c2C(O)=O)cc1,ippidb,0.9424,4,5,3,2,246.226,6,5.35
OC(=O)c1[nH]cnc1C(=O)Nc1ccc(cc1)N(=O)=O,ippidb,1.2684,4,4,4,2,276.208,5.28,5.01
OC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,ippidb,0.7552,5,4,3,2,232.199,4.89,5.85
OC(=O)c1[nH]cnc1C(=O)Nc1ccc(F)cc1,ippidb,1.4993,5,4,3,2,249.201,5,5.26
OC(=O)c1[nH]cnc1C(=O)Nc1ccccc1,ippidb,1.3602,4,4,3,2,231.211,5.22,5.16
Brc1ccccc1-c1csc(=N/CC=C)n1N=Cc1ccccn1,ippidb,4.343,1,0,5,3,399.317,4.64,5.03
CCN=c1/scc(-c2cc(OC)ccc2OC)n1N=C(/C)c1ccco1,ippidb,4.0197,2,0,6,3,371.462,5.1,5.37
COCCN=c1/scc(-c2cccs2)n1N=Cc1cc(Br)c(O)c(OC)c1,ippidb,4.1841,3,1,7,3,468.398,4.85,5.05
COc1ccccc1N1CCN(CC1)N=Cc1ccc(Cl)c(c1)N(=O)=O,ippidb,3.4129,1,0,5,3,374.828,4.68,4.97
Oc1ccc(C=NN2CCN(CC2)c2ccccc2)cc1O,ippidb,2.2539,2,2,3,3,297.358,4.8,5.45
CC(=N/N1CCN(Cc2ccccc2Cl)CC1)c1ccc(cc1)N(=O)=O,ippidb,3.79,0,1,5,3,372.856,4.72,4.87
O=N(=O)c1ccccc1C=NN1CCN(Cc2ccccc2)CC1,ippidb,2.7465,0,1,5,3,324.384,4.62,4.84
Cc1ccc(NN=C2/Sc3ccccc3C2=O)cc1,ippidb,3.70902,1,1,2,3,268.341,5.22,5.26
OC1=Cc2ccccc2C(=N/Nc2ccc(Cl)cc2)C1=O,ippidb,3.6378,2,2,2,3,298.729,5.52,5.31
CC(=O)c1ccc(cc1)N=Nc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,ippidb,7.7987,1,0,8,5,499.574,4.92,5.53
CN(C)c1ccc(cc1)N=Nc1ccc(Cl)cc1,ippidb,4.8214,0,0,3,2,259.74,5.7,4.96
N(N=C(N=Nc1ccccc1)/c1ccccc1)c1ccccc1,ippidb,5.2442,0,1,4,3,300.365,4.7,5.08
CCN(CC)c1ccc(C=C2/CCC(C=NN=Cc3cccnc3)=C2N2CCOCC2)cc1,ippidb,4.7962,2,1,8,4,443.595,5.52,4.82
Cc1nn(c(O)c1C=NNc1ccc(cc1)N(=O)=O)-c1ccccc1,ippidb,3.24052,2,2,5,3,337.339,5.22,4.93
COc1cc(C=NNc2ccc(cc2N(=O)=O)S(=O)(=O)Nc2ccccc2C(O)=O)ccc1O,ippidb,3.254,6,4,9,3,486.462,4.6,5.55
COc1ccccc1NS(=O)(=O)c1ccc(NN=C(/C)c2ccccc2Br)c(c1)N(=O)=O,ippidb,5.0028,3,2,8,3,519.377,5.22,4.82
CC(=N/Nc1ccc(cc1N(=O)=O)S(=O)(=O)Nc1ccccc1)c1cc(O)ccc1O,ippidb,3.6429,4,4,7,3,442.453,4.89,5.33
Cc1sc2ncnc(NN=Cc3c(O)ccc4ccccc34)c2c1C,ippidb,4.61294,3,2,3,4,348.431,5.22,5.45
Cc1nnc(NN)c2c3ccccc3[nH]c12,ippidb,1.70512,2,3,1,3,213.244,5.3,5.62
COCCN1C(=S)NC(=O)C(=CNNC(=O)c2cc(Cl)ccc2O)C1=O,ippidb,0.0536,5,5,6,2,398.828,4.89,5.77
Cc1occc1C(=O)NNC=C1C(=O)N(C(=O)c2ccccc12)c1ccccc1Cl,ippidb,3.70392,3,2,4,4,421.84,5.1,5.31
CCNc1nc(NCC)nc(n1)C(=O)Nc1ccccc1,ippidb,1.9875,4,3,6,2,286.339,4.68,5.57
CCNc1nc(NCC)nc(n1)C(=O)NN,ippidb,-0.6613,4,4,5,1,225.256,5.22,5.68
Oc1ccc2ccccc2c1C=NNC(=O)c1ccn[nH]1,ippidb,2.0324,3,4,3,3,280.287,5.15,5.63
Oc1ccc2ccccc2c1C=NNC(=O)c1n[nH]c2CCCc12,ippidb,2.5211,3,4,3,4,320.352,5.4,5.27
Oc1ccc(Br)cc1C=NNC(=O)c1n[nH]c2CCCCc12,ippidb,2.5205,3,4,3,3,363.215,5.4,5.36
CCOc1cccc(C=NNC(=O)c2n[nH]c3CCCc23)c1O,ippidb,1.7666,4,4,5,3,314.345,5.7,5.28
Oc1ccc2ccccc2c1C=NNC(=O)c1ccncc1,ippidb,2.7043,3,2,3,3,291.31,5.22,5.41
Oc1ccccc1C=NNC(=O)c1cnccn1,ippidb,0.9461,4,2,3,2,242.238,6.4,5.4
COc1cc(Br)cc(C=NNC(=O)c2ccccn2)c1O,ippidb,2.3222,4,2,4,2,350.172,5.89,5.25
Oc1ccc(Br)cc1C=NNC(=O)c1cccnc1,ippidb,2.3136,3,2,3,2,320.146,5.4,5.4
Oc1ccc(C=NNC(=O)c2ccncc2)c(O)c1,ippidb,1.2567,4,3,3,2,257.249,5.4,5.76
