SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10),pdCSM-PPI
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(C)=O)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.02,4,5,9,4,533.673,6.53,6.77
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CCN)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.4934,3,5,10,4,519.69,6.85,6.65
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNCc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,3.9344,3,5,12,5,595.788,6.96,6.5
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(CC)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,3.2257,3,5,11,4,547.744,6.36,6.77
CC[C@H](N)C(=O)N[C@H]1[C@@H](COC(C)=O)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.447,5,4,9,4,534.657,6.48,6.46
C[C@H](O)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.6914,4,4,6,4,463.578,5.15,6.32
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1C[C@H]2CCCN2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc12,ippidb,1.9746,4,5,7,5,525.694,8.4559319556,6.79
C[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)C(N)=O)C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCc2ccccc12)c1ccccc1,ippidb,2.3484,4,5,9,5,567.69,8,7.92
C[C@@H](N)[C@H]1CCC[C@H](N1)C(=O)N1C[C@H](C[C@H]1C(=O)N1CC[C@@H](C1)c1ccccc1)c1ccccc1,ippidb,3.2451,2,4,5,5,474.649,5.3,6.17
CC[C@H](N)C(=O)N[C@H]1[C@@H](Cn2cc(nn2)[C@@H](O)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.619,6,5,11,5,601.752,6.61,6.69
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNC(=O)NCc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,3.644,4,6,12,5,638.813,7,6.9
CC[C@H](N)C(=O)N[C@H]1[C@@H](CC#N)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.79758,3,4,8,4,501.631,6.49,7.15
